Hello,Hi there!
You are nice.,"Thanks, you seem nice too."
youre nice,"Thanks, you seem nice too."
nice,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=nice'>nice</a>
Hello,Hello to you!
What time is it?,The time is now 8:44 AM EST
What date is it?,"Today is Sunday, 6/6/2021"
Hello,Hello to you!
Hello,Hey!
Gey there,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Gey there'>Gey there</a>
Hey there,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Hey there'>Hey there</a>
How are you?,I am well. How are you?
Hello,Hi! It's nice to see you!
Hello,It's nice to see you!
Hello,Hi there!
Hello,Hi! It's nice to see you!
Hello,Hello there!
Hello chatbot,I will have to give that some thought.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Hello chatbot'>Hello chatbot</a>
Hello Marvin,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Hello Marvin'>Hello Marvin</a>
